source,publisher,title,content,language,date
lulegacy,,"Wilmington Savings Fund Society FSB Purchases 8,097 Shares of United Parcel Service, Inc. (NYSE:UPS)","Wilmington Savings Fund Society FSB increased its holdings in shares of United Parcel Service, Inc. (NYSE:UPS - Free Report) by 31.5% in the 3rd quarter, according to its most recent filing with the SEC. The fund owned 33,777 shares of the transportation company's stock after purchasing an addition",en,2024-12-13T12:37:18+00:00
dvidshub,Petty Officer 3rd Class Benjamin Hurner,USS Ronald Reagan (CVN 76) Sailors transport gear on the flight deck [Image 8 of 9],"Aviation Support Equipment Technician Airman Jarod Rife, from Wapakoneta, Ohio, uses a forklift to move a trailer of deck ramps on the flight deck onboard Nimitz-class aircraft carrier USS Ronald Reagan (CVN 76), while underway in the U.S. 3rd Fleet area of operations, Dec. 12, 2024. Ronald Reagan provides a combat-ready force that protects and defends the United States, and supports alliances, partnerships and collective maritime interests in the Indo-Pacific region.",en,2024-12-13T12:33:46+00:00
dvidshub,Petty Officer 3rd Class Benjamin Hurner,USS Ronald Reagan (CVN 76) Sailors transport gear on the flight deck [Image 6 of 9],"Aviation Support Equipment Technician Airman Jarod Rife, from Wapakoneta, Ohio, checks the oil of a forklift on the flight deck onboard Nimitz-class aircraft carrier USS Ronald Reagan (CVN 76), while underway in the U.S. 3rd Fleet area of operations, Dec. 12, 2024. Ronald Reagan provides a combat-ready force that protects and defends the United States, and supports alliances, partnerships and collective maritime interests in the Indo-Pacific region.",en,2024-12-13T12:33:46+00:00
dvidshub,Petty Officer 3rd Class Benjamin Hurner,USS Ronald Reagan (CVN 76) Sailors transport gear on the flight deck [Image 7 of 9],"Aviation Support Equipment Technician Airman Jarod Rife, front right, from Wapakoneta, Ohio, teaches Aviation Support Equipment Technician Airman Doyle Maynard, from Burleson, Texas, how to transport deck ramps on the flight deck onboard Nimitz-class aircraft carrier USS Ronald Reagan (CVN 76), while underway in the U.S. 3rd Fleet area of operations, Dec. 12, 2024. Ronald Reagan provides a combat-ready force that protects and defends the United States, and supports alliances, partnerships and collective maritime interests in the Indo-Pacific region.",en,2024-12-13T12:33:46+00:00
dvidshub,Petty Officer 3rd Class Benjamin Hurner,USS Ronald Reagan (CVN 76) Sailors transport gear on the flight deck [Image 9 of 9],"Sailors move tow tractors off an aircraft elevator onboard Nimitz-class aircraft carrier USS Ronald Reagan (CVN 76), while underway in the U.S. 3rd Fleet area of operations, Dec. 12, 2024. Ronald Reagan provides a combat-ready force that protects and defends the United States, and supports alliances, partnerships and collective maritime interests in the Indo-Pacific region.",en,2024-12-13T12:33:46+00:00
dvidshub,Petty Officer 3rd Class Benjamin Hurner,USS Ronald Reagan (CVN 76) Sailors transport gear on the flight deck [Image 5 of 9],"Aviation Support Equipment Technician Airman Jarod Rife, from Wapakoneta, Ohio, prepares a forklift to move gear on the flight deck onboard Nimitz-class aircraft carrier USS Ronald Reagan (CVN 76), while underway in the U.S. 3rd Fleet area of operations, Dec. 12, 2024. Ronald Reagan provides a combat-ready force that protects and defends the United States, and supports alliances, partnerships and collective maritime interests in the Indo-Pacific region.",en,2024-12-13T12:33:46+00:00
The Hindu,,Kerala gives nod to T.N. PWD to transport building materials to Mullaperiyar dam site for annual upkeep: Theni Collector,PWD engineers used to transport materials from Uthamapalayam taluk in Theni district in Tamil Nadu to the reservoir site in Kerala; the materials would be taken via Vallakadavu forest area and also through Thekkadi boating point.,en,2024-12-13T12:21:55+00:00
lanoticiadigital,Mackenzie Roberts,New Program Tackles E-Bike Safety Crisis,"NYC Aims for Safer Charging Solutions for E-Bikes The New York City Department of Transportation (DOT) has unveiled significant findings from its Public E-Bike Charging Pilot program, which ran from March to September 2024. The initiative, titled Safer Charging, Safer Deliveries, sought to address the alarming number of fires linked to improper charging of e-bikes, while promoting safer riding alternatives. The pilot involved 118 participants, primarily food delivery workers utilizing popular e-bike models. As part of the program, they enjoyed unlimited free access to battery-swapping and...",es,2024-12-13T12:15:34+00:00
bladi.net,Bladi.net,Casablanca a perdu sa bataille contre les charrettes,"Malgré la décision du conseil communal en date du 17 octobre dernier visant à interdire leur utilisation pour le transport des marchandises et des personnes, ou comme moyen de vente ambulante, la maire de Casablanca Nabila Rmili peine à se débarrasser des charrettes. Casablanca a visiblement perdu sa guerre contre les charrettes à traction animale circulant dans les zones urbaines. Les menaces de sanctions sévères allant de la rédaction de procès-verbaux de contravention à des renvois (…)-Maroc/ Casablanca, Nabila Rmili, Administration, Transports",fr,2024-12-13T12:00:00+00:00
lulegacy,,Research Analysts Offer Predictions for ALK FY2024 Earnings,"Alaska Air Group, Inc. (NYSE:ALK - Free Report) - Research analysts at Seaport Res Ptn lifted their FY2024 EPS estimates for shares of Alaska Air Group in a report released on Wednesday, December 11th. Seaport Res Ptn analyst D. Mckenzie now anticipates that the transportation company will post e",en,2024-12-13T11:48:01+00:00
sundayworld,Moyahabo Mabeba,"BMA, transport agencies gearing up for festive season influx","With high traffic volumes expected to climax and persistent movements at border posts across the country, authorities say they have deployed high-level personnel to manage the hectic situation. With South African borders known to be porous, Border Management Authority (BMA) has vowed to sharpen its vigilance and policing of the country’s entry points over the festive holidays. [&#8230;]",en,2024-12-13T11:01:22+00:00
lulegacy,,"Toronto Dominion Bank Purchases 42,880 Shares of Old Dominion Freight Line, Inc. (NASDAQ:ODFL)","Toronto Dominion Bank increased its position in shares of Old Dominion Freight Line, Inc. (NASDAQ:ODFL - Free Report) by 77.7% during the third quarter, according to its most recent filing with the Securities &amp; Exchange Commission. The fund owned 98,061 shares of the transportation company's st",en,2024-12-13T10:53:21+00:00
lulegacy,,"Neo Ivy Capital Management Decreases Stake in Delta Air Lines, Inc. (NYSE:DAL)","Neo Ivy Capital Management cut its holdings in shares of Delta Air Lines, Inc. (NYSE:DAL - Free Report) by 96.2% during the 3rd quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The fund owned 4,796 shares of the transportation company's stock",en,2024-12-13T10:52:36+00:00
lulegacy,,"Geode Capital Management LLC Increases Stock Position in United Airlines Holdings, Inc. (NASDAQ:UAL)","Geode Capital Management LLC increased its holdings in United Airlines Holdings, Inc. (NASDAQ:UAL - Free Report) by 2.1% in the third quarter, according to its most recent Form 13F filing with the Securities &amp; Exchange Commission. The firm owned 8,311,220 shares of the transportation company's",en,2024-12-13T10:44:29+00:00
lulegacy,,"Barclays PLC Has $40.70 Million Stock Position in J.B. Hunt Transport Services, Inc. (NASDAQ:JBHT)","Barclays PLC raised its holdings in J.B. Hunt Transport Services, Inc. (NASDAQ:JBHT - Free Report) by 37.5% during the 3rd quarter, according to the company in its most recent disclosure with the SEC. The firm owned 236,177 shares of the transportation company's stock after buying an additional 64,",en,2024-12-13T10:32:34+00:00
